transaction_id,amount,transaction_type,merchant_category,hour,location_risk,device_trusted,failed_attempts,is_international,fraud
TXN0001,124435,Bank Transfer,Travel,3,0,1,3,1,1
TXN0002,40045,UPI,Electronics,1,0,0,2,0,0
TXN0003,20747,Card,Grocery,2,0,0,0,0,0
TXN0004,17781,Bank Transfer,Travel,23,0,1,1,1,0
TXN0005,41564,Bank Transfer,Grocery,22,1,0,1,1,0
TXN0006,112167,UPI,Electronics,12,1,0,3,1,1
TXN0007,96422,Bank Transfer,Grocery,19,0,1,2,1,1
TXN0008,131861,UPI,Fuel,12,1,0,4,0,1
TXN0009,16278,UPI,Travel,13,1,0,3,0,0
TXN0010,141886,Bank Transfer,Grocery,9,0,1,1,0,0
TXN0011,147026,UPI,Electronics,23,1,0,1,1,1
TXN0012,93127,Bank Transfer,Electronics,17,0,1,2,0,0
TXN0013,8621,Card,Electronics,5,0,1,5,1,0
TXN0014,43279,UPI,Travel,7,1,0,0,0,0
TXN0015,12187,UPI,Grocery,10,1,0,2,1,0
TXN0016,90999,UPI,Travel,10,0,0,4,0,1
TXN0017,72684,UPI,Fuel,17,0,0,1,1,1
TXN0018,118806,UPI,Food,5,0,1,3,1,1
TXN0019,108907,Bank Transfer,Grocery,6,1,0,3,0,1
TXN0020,111293,UPI,Food,9,0,1,3,0,1
TXN0021,47073,UPI,Food,14,1,0,5,0,0
TXN0022,83262,UPI,Grocery,5,0,1,4,0,1
TXN0023,112219,Card,Travel,20,1,0,4,0,1
TXN0024,14870,Card,Travel,18,0,0,2,0,0
TXN0025,63590,Bank Transfer,Fuel,5,0,0,4,1,1
TXN0026,113806,Card,Fuel,22,1,1,5,0,1
TXN0027,12582,Card,Food,14,1,1,5,1,0
TXN0028,55669,Card,Shopping,18,0,0,3,0,1
TXN0029,80975,UPI,Grocery,8,0,0,0,0,1
TXN0030,122747,UPI,Fuel,16,0,0,1,1,1
TXN0031,64923,Bank Transfer,Grocery,15,1,1,0,0,0
TXN0032,117779,Bank Transfer,Grocery,17,1,0,0,0,1
TXN0033,10519,Bank Transfer,Shopping,20,1,1,0,1,0
TXN0034,122582,Bank Transfer,Fuel,7,1,0,1,0,1
TXN0035,133649,Card,Grocery,3,1,1,1,1,1
TXN0036,79361,Card,Electronics,12,0,0,2,1,1
TXN0037,71536,UPI,Travel,7,1,0,1,0,1
TXN0038,89884,Bank Transfer,Grocery,22,1,0,3,1,1
TXN0039,9736,Card,Grocery,8,1,0,5,0,0
TXN0040,83346,Card,Food,21,0,0,5,1,1
TXN0041,32535,UPI,Travel,8,1,0,4,1,0
TXN0042,148741,Card,Food,1,1,0,0,0,1
TXN0043,105083,UPI,Fuel,19,0,1,4,0,1
TXN0044,61741,Card,Food,8,1,1,0,0,0
TXN0045,49852,UPI,Electronics,14,1,1,2,1,0
TXN0046,120542,Card,Food,15,1,0,3,1,1
TXN0047,124237,Bank Transfer,Grocery,4,0,0,5,1,1
TXN0048,10223,Card,Fuel,13,0,1,1,1,0
TXN0049,24425,Card,Grocery,0,1,0,2,1,0
TXN0050,74127,Bank Transfer,Electronics,8,1,1,1,1,1
TXN0051,7842,UPI,Electronics,14,0,0,4,1,0
TXN0052,38472,Bank Transfer,Shopping,6,0,1,0,0,0
TXN0053,137649,UPI,Grocery,20,0,1,5,1,1
TXN0054,143717,Card,Shopping,6,0,1,4,1,1
TXN0055,113269,Bank Transfer,Travel,8,1,0,2,1,1
TXN0056,135391,Bank Transfer,Fuel,19,0,1,0,0,0
TXN0057,129034,Bank Transfer,Electronics,5,0,0,0,0,1
TXN0058,106285,Bank Transfer,Fuel,9,0,1,4,1,1
TXN0059,95544,Bank Transfer,Grocery,10,1,1,0,1,1
TXN0060,32003,UPI,Grocery,3,0,1,4,0,0
TXN0061,5673,UPI,Grocery,3,0,1,2,0,0
TXN0062,47543,UPI,Travel,21,1,0,2,0,0
TXN0063,15269,UPI,Fuel,3,1,1,1,0,0
TXN0064,26755,UPI,Food,2,0,1,2,1,0
TXN0065,9087,UPI,Grocery,1,0,1,2,0,0
TXN0066,51972,Card,Travel,8,1,1,2,0,0
TXN0067,2826,UPI,Food,17,1,1,4,1,0
TXN0068,62502,Bank Transfer,Shopping,20,1,0,3,0,1
TXN0069,121839,Card,Food,21,0,1,1,1,1
TXN0070,13203,Card,Shopping,4,1,0,3,0,0
TXN0071,50925,UPI,Electronics,13,0,0,1,0,1
TXN0072,145215,UPI,Grocery,22,0,1,2,1,1
TXN0073,67633,UPI,Fuel,11,1,0,3,1,1
TXN0074,71127,Bank Transfer,Travel,8,0,0,5,0,1
TXN0075,26161,Card,Grocery,0,0,1,1,0,0
TXN0076,125551,Card,Food,9,0,0,0,0,1
TXN0077,141581,Bank Transfer,Fuel,5,1,1,0,1,1
TXN0078,13190,UPI,Food,20,1,1,3,0,0
TXN0079,27532,Card,Grocery,14,1,1,1,1,0
TXN0080,64173,Bank Transfer,Food,23,0,0,2,0,1
