amount,transaction_type,merchant_category,hour,location_risk,device_trusted,failed_attempts,is_international,is_fraud
8458.32,Deposit,Electronics,0,95,1,1,0,0
5712.34,Purchase,Shopping,2,76,1,0,0,0
13304.39,Withdrawal,Shopping,19,4,0,5,1,0
20481.01,Refund,Healthcare,0,98,0,5,1,0
21602.86,Withdrawal,Restaurant,10,14,0,3,0,0
69841.83,Transfer,ATM,8,6,1,4,0,1
2844.88,Deposit,ATM,11,74,0,5,0,0
27259.28,Withdrawal,Healthcare,2,30,0,3,0,0
48213.11,Transfer,Fuel,11,46,0,5,0,1
22829.38,Deposit,Fuel,17,94,0,1,1,0
49325.98,Deposit,Shopping,7,88,1,0,0,1
23798.35,Payment,Healthcare,2,28,1,1,1,0
71258.98,Deposit,Utility,4,34,0,1,0,1
51680.06,Transfer,Restaurant,4,66,1,0,0,0
35793.72,Withdrawal,Fuel,21,55,0,3,1,0
57007.13,Payment,Shopping,8,71,0,5,0,1
294.39,Deposit,Travel,3,38,1,1,1,0
73752.73,Deposit,Healthcare,16,98,0,4,0,1
35976.78,Refund,Restaurant,4,48,0,4,0,0
14528.21,Payment,Grocery,3,47,1,1,0,0
7790.65,Refund,Electronics,2,94,1,0,0,0
42805.64,Payment,Shopping,5,34,1,1,0,0
13559.37,Payment,Travel,14,67,1,0,0,0
530.73,Transfer,Grocery,18,71,0,4,0,0
30897.95,Deposit,Grocery,7,9,0,2,0,0
14655.53,Transfer,Utility,6,70,0,5,1,0
21322.42,Payment,Entertainment,6,13,0,5,1,0
43719.99,Payment,Utility,23,7,0,0,1,1
11090.93,Purchase,Restaurant,6,25,1,1,1,0
58142.88,Payment,Restaurant,2,57,0,0,0,1
54156.33,Withdrawal,Fuel,13,63,1,1,1,1
9372.33,Payment,Healthcare,14,37,1,5,1,0
3524.2,Transfer,Restaurant,1,75,0,5,0,0
51095.42,Refund,Utility,16,68,0,0,0,1
37200.95,Withdrawal,Entertainment,3,73,0,4,0,0
40216.59,Payment,ATM,18,67,1,2,0,0
27487.75,Transfer,Restaurant,8,51,0,5,0,0
30402.49,Purchase,Grocery,14,80,0,0,0,0
26347.26,Withdrawal,Travel,2,32,1,2,0,0
84515.71,Refund,Healthcare,19,84,0,5,0,1
36329.31,Transfer,Electronics,3,96,0,2,0,0
15142.16,Deposit,Travel,6,88,1,4,1,0
20080.04,Purchase,Electronics,20,55,1,0,0,0
33698.32,Withdrawal,Healthcare,5,95,1,4,1,0
25844.22,Purchase,Electronics,22,20,0,2,0,0
40049.31,Purchase,Healthcare,11,6,1,1,0,0
58574.74,Transfer,Shopping,13,80,0,1,0,1
16081.66,Payment,Grocery,5,95,1,3,0,0
49013.54,Deposit,Electronics,12,5,1,1,0,0
23968.11,Payment,Travel,9,30,0,0,0,0
88668.03,Transfer,Electronics,8,45,1,5,0,1
20806.66,Withdrawal,ATM,8,5,0,4,1,0
15357.88,Transfer,Entertainment,19,66,0,3,0,0
4291.43,Deposit,Entertainment,0,67,0,2,1,0
30476.64,Deposit,Travel,19,41,0,5,0,0
11591.22,Deposit,Entertainment,10,52,1,4,0,0
24423.9,Deposit,Entertainment,21,96,0,4,0,0
27952.79,Purchase,Healthcare,9,27,1,4,0,0
17098.81,Payment,Restaurant,16,61,0,5,0,0
13555.98,Deposit,ATM,10,12,0,5,0,0
27379.43,Withdrawal,Fuel,0,6,0,3,0,0
14714.67,Deposit,ATM,6,92,1,3,1,0
65904.74,Deposit,Grocery,3,100,1,1,0,1
57007.37,Refund,Restaurant,3,59,0,3,0,1
27059.18,Refund,Shopping,13,71,1,1,1,0
4741.25,Withdrawal,Healthcare,16,63,0,2,1,0
8388.61,Transfer,Restaurant,8,43,1,4,0,0
24515.2,Withdrawal,Entertainment,22,20,0,0,1,0
76298.53,Refund,Utility,13,8,0,3,1,1
51221.53,Refund,Entertainment,15,1,1,2,1,1
16448.83,Payment,Shopping,23,95,0,3,0,0
50446.29,Payment,Grocery,12,44,1,5,0,1
8228.4,Refund,Shopping,0,51,0,0,1,0
27336.49,Payment,Fuel,1,34,1,2,0,0
28271.38,Transfer,Entertainment,8,97,1,2,0,0
78940.49,Deposit,Shopping,1,45,0,5,0,1
28466.31,Withdrawal,Restaurant,0,80,0,1,0,0
36392.97,Purchase,ATM,6,60,1,2,0,0
85861.18,Deposit,Electronics,5,40,0,4,0,1
6203.89,Payment,Entertainment,22,26,0,4,0,0
39725.13,Transfer,ATM,3,73,0,2,1,0
6421.78,Purchase,Shopping,20,44,0,3,1,0
36993.15,Transfer,Utility,22,20,1,1,0,0
49860.79,Refund,Utility,14,56,1,2,0,0
20250.16,Purchase,Healthcare,14,32,1,4,1,0
20486.3,Payment,Travel,5,63,0,2,0,0
79117.41,Refund,Healthcare,17,2,0,0,0,1
5673.9,Deposit,Utility,20,92,1,3,0,0
28448.3,Withdrawal,Entertainment,22,32,1,5,0,0
16327.89,Refund,Travel,13,96,1,2,1,0
44598.58,Transfer,Restaurant,3,93,0,2,0,1
58832.59,Deposit,Fuel,6,28,1,2,0,0
47048.21,Withdrawal,Healthcare,7,47,0,2,0,1
6245.0,Purchase,Shopping,9,90,0,5,1,0
11143.38,Purchase,ATM,9,61,1,3,0,0
4537.52,Purchase,Healthcare,15,15,0,3,1,0
7195.25,Deposit,Grocery,4,20,1,0,0,0
27085.82,Payment,ATM,19,80,0,4,1,0
36616.89,Payment,Healthcare,18,55,1,4,0,0
9507.72,Deposit,Electronics,6,81,0,2,0,0
46468.79,Withdrawal,Shopping,2,21,0,3,1,1
55442.27,Transfer,Healthcare,22,59,0,5,0,1
38893.32,Deposit,ATM,21,26,1,0,0,0
26405.29,Transfer,Fuel,2,8,0,2,0,0
26321.76,Payment,Healthcare,22,52,1,4,1,0
1649.31,Refund,Grocery,13,95,1,4,0,0
68353.37,Withdrawal,ATM,18,3,1,4,0,1
63375.66,Payment,Healthcare,5,75,1,5,1,1
17364.25,Transfer,Electronics,5,43,1,5,1,0
19464.1,Payment,Shopping,1,59,0,2,0,0
11336.19,Payment,Shopping,0,85,1,3,0,0
16096.67,Transfer,ATM,15,81,1,0,0,0
58391.49,Withdrawal,Healthcare,14,90,1,0,0,1
59536.2,Withdrawal,Healthcare,17,2,1,0,0,0
30581.43,Purchase,Utility,3,83,0,3,0,0
23076.8,Transfer,Entertainment,15,61,0,3,0,0
20458.53,Refund,Shopping,23,18,0,2,1,0
66795.36,Refund,Healthcare,0,37,1,4,1,1
58848.4,Transfer,Shopping,17,49,1,2,0,0
44707.84,Withdrawal,ATM,12,30,1,0,0,0
7662.15,Deposit,Entertainment,12,85,0,3,0,0
1019.32,Refund,Travel,3,57,0,4,1,0
20379.82,Withdrawal,Entertainment,20,20,0,3,0,0
84934.74,Deposit,Entertainment,20,11,1,5,1,1
59845.81,Payment,Shopping,1,80,0,1,0,1
41670.67,Payment,Electronics,20,91,0,3,0,1
8819.63,Purchase,Travel,1,38,1,2,1,0
4830.2,Refund,Entertainment,18,88,0,1,0,0
14008.09,Payment,ATM,21,31,1,4,0,0
64877.84,Deposit,Healthcare,14,33,0,3,0,1
27464.47,Transfer,ATM,9,82,1,5,0,0
34358.17,Transfer,Restaurant,12,62,0,1,1,0
16541.37,Refund,Healthcare,22,38,0,5,1,0
36463.19,Refund,Grocery,19,96,1,2,0,0
37732.06,Transfer,Restaurant,20,25,1,5,0,0
58279.97,Deposit,Grocery,9,57,0,4,0,1
31898.06,Deposit,Entertainment,5,26,0,4,0,0
48388.47,Transfer,Fuel,8,62,1,5,0,1
15941.07,Withdrawal,Entertainment,17,47,0,3,0,0
49362.8,Purchase,Utility,11,87,1,4,1,1
38894.38,Purchase,Restaurant,15,4,1,4,0,0
2816.27,Deposit,Utility,22,39,1,0,0,0
23379.89,Purchase,Healthcare,15,15,0,1,0,0
87257.39,Transfer,Shopping,13,76,0,3,0,1
57038.25,Transfer,Grocery,22,48,0,3,1,1
16625.3,Purchase,Travel,17,83,1,0,1,0
3129.65,Purchase,Utility,2,85,0,5,0,0
35224.35,Transfer,Restaurant,4,73,0,0,0,0
80933.12,Withdrawal,Travel,4,77,0,2,0,1
1045.29,Purchase,Grocery,4,2,1,1,0,0
80010.77,Transfer,Grocery,4,95,1,4,0,1
43661.86,Refund,ATM,3,58,0,4,0,1
50853.18,Deposit,Shopping,9,59,0,0,1,1
4034.37,Deposit,Utility,2,11,1,4,0,0
27277.55,Transfer,ATM,20,75,1,3,0,0
25861.19,Refund,Entertainment,3,90,0,5,0,0
18821.65,Withdrawal,Entertainment,10,59,1,3,0,0
49923.14,Transfer,Healthcare,11,20,1,0,0,0
35229.26,Purchase,Entertainment,3,96,1,1,0,0
52429.08,Refund,Shopping,10,86,0,3,0,1
34717.32,Payment,Grocery,9,77,1,2,0,0
79317.25,Withdrawal,Fuel,21,62,0,0,0,1
1834.3,Refund,Restaurant,13,72,0,4,0,0
34022.63,Transfer,Healthcare,10,45,0,1,0,0
22634.04,Payment,Electronics,4,95,0,0,0,0
48823.07,Payment,Travel,5,48,1,5,0,1
16398.96,Purchase,Fuel,5,97,0,5,0,0
13012.58,Deposit,Entertainment,15,78,1,3,0,0
31663.35,Refund,Electronics,11,56,0,2,1,0
18155.02,Transfer,Grocery,7,51,0,0,0,0
29893.38,Withdrawal,Fuel,8,38,1,0,0,0
4417.32,Payment,Fuel,4,49,0,4,0,0
34587.97,Deposit,Grocery,13,3,1,0,0,0
24361.44,Refund,Entertainment,22,82,1,2,0,0
71499.21,Transfer,Fuel,19,59,1,0,1,1
46769.16,Refund,Electronics,12,40,1,1,0,0
43670.01,Purchase,Shopping,20,15,0,2,0,1
36183.7,Withdrawal,Restaurant,3,19,1,1,0,0
40899.9,Deposit,Electronics,5,99,1,3,1,1
4190.35,Deposit,ATM,10,81,1,1,1,0
18693.43,Payment,Healthcare,8,76,0,2,0,0
36939.0,Payment,Grocery,1,48,1,0,0,0
19359.45,Refund,Entertainment,14,75,0,3,0,0
58944.9,Payment,Shopping,4,8,1,0,0,0
72441.24,Purchase,Shopping,20,23,0,1,1,1
47374.69,Transfer,Travel,9,50,1,2,0,0
17120.4,Deposit,Travel,2,43,0,4,1,0
74522.46,Deposit,ATM,4,43,0,4,0,1
38645.25,Deposit,Entertainment,4,77,0,2,1,0
30558.46,Transfer,Fuel,21,90,0,5,1,0
11601.11,Purchase,Travel,9,24,0,2,1,0
39749.56,Withdrawal,Fuel,2,38,0,4,0,0
49897.57,Refund,Fuel,19,49,0,1,0,1
78857.6,Withdrawal,Utility,1,53,1,5,0,1
22133.67,Payment,Restaurant,17,31,1,3,0,0
57979.46,Refund,Utility,14,99,1,3,1,1
42712.92,Refund,Fuel,8,7,1,2,0,0
64686.27,Refund,Electronics,9,11,0,2,1,1
30170.23,Withdrawal,Utility,11,4,1,0,1,0
55856.47,Withdrawal,Entertainment,2,48,0,0,0,1
76749.13,Deposit,Travel,4,18,0,2,1,1
77725.57,Payment,ATM,0,11,0,2,0,1
7398.72,Refund,Entertainment,3,100,1,1,0,0
69122.42,Withdrawal,Entertainment,20,80,1,0,0,1
193.7,Deposit,Shopping,18,31,0,2,1,0
31456.73,Transfer,Restaurant,18,54,0,5,0,0
2707.71,Transfer,Electronics,16,70,0,3,1,0
20753.67,Payment,Travel,8,96,0,2,0,0
21202.71,Deposit,Electronics,18,95,1,1,0,0
79928.57,Transfer,Fuel,21,60,1,5,0,1
19004.19,Payment,Grocery,9,26,0,1,0,0
45222.13,Transfer,Shopping,12,70,1,2,0,0
16465.67,Withdrawal,Healthcare,11,100,0,5,0,0
67388.55,Transfer,Entertainment,12,96,1,3,0,1
36186.95,Refund,Healthcare,2,94,1,0,1,0
39689.06,Withdrawal,Shopping,9,42,0,0,0,0
21157.66,Transfer,Utility,19,92,1,1,1,0
4594.97,Purchase,Travel,19,56,1,5,0,0
64717.78,Deposit,Entertainment,11,66,0,0,0,1
56973.08,Withdrawal,Electronics,7,100,1,2,1,1
31814.65,Payment,Travel,11,57,0,4,0,0
62414.43,Payment,Travel,20,36,0,0,0,1
12952.77,Refund,Electronics,8,100,1,5,1,0
85440.56,Refund,Healthcare,22,63,0,0,0,1
33044.83,Payment,Electronics,21,41,1,5,0,0
