Feature,Importance
numeric__abs_amount,0.4374455240000673
numeric__amount,0.42519111828147726
numeric__device_trusted,0.028626405699107876
numeric__large_transaction,0.02791530858200883
numeric__failed_attempts,0.02244285173492692
numeric__location_risk,0.015857071100155034
numeric__risk_indicator,0.015551431057068927
numeric__is_international,0.01381375268922119
numeric__hour,0.004405593734395948
numeric__merchant_category_frequency,0.001519640625545999
categorical__transaction_type_Transfer,0.0007339837820637327
categorical__transaction_type_Payment,0.0006344332584981094
categorical__transaction_type_Deposit,0.0006292183397720304
categorical__transaction_type_Withdrawal,0.0005904700793542384
categorical__transaction_type_Refund,0.0005673776448925468
categorical__transaction_type_Purchase,0.0005652871155349299
categorical__merchant_category_Fuel,0.00042527459158259976
categorical__merchant_category_Travel,0.0003979266717672542
categorical__merchant_category_Electronics,0.00039170744390040367
categorical__merchant_category_ATM,0.00038820666499806176
categorical__merchant_category_Restaurant,0.00035397709019637614
categorical__merchant_category_Grocery,0.0003436870406025458
categorical__merchant_category_Healthcare,0.00033029474363978394
categorical__merchant_category_Shopping,0.000306204987041483
categorical__merchant_category_Entertainment,0.0002894577043389058
categorical__merchant_category_Utility,0.0002837953378417045
